location_names
"NA, NA, NA"
"NA, LOS ANGELES, CA"
"13400 CROSSROADS PKWY, INDUSTRY, CA"
"NA, LANCASTER, CA"
"NA, UNKNOWN, CA"
"UNKNOWN, UNKNOWN, CA"
"NA, LONG BEACH, CA"
"1900 TOWN CENTER DR, ROSEMEAD, CA"
"NA, PALMDALE, CA"
"UNKNOWN, LOS ANGELES, CA"
"NA, SAN GABRIEL TRANSIT NON SPECIF, CA"
"NA, CENTRAL BUS DIST NON SPECIF, CA"
"NA, WHITTIER, CA"
"NA, COMPTON, CA"
"NA, CARSON, CA"
"NA, NORWALK, CA"
"NA, SANTA CLARITA, CA"
"UNKNOWN, NORWALK, CA"
"8620 GRAHAM AVE, LOS ANGELES, CA"
"26470 CARL BOYER DR, CANYON COUNTRY, CA"
"NA, SANTA MONICA, CA"
"UNKNOWN, PALMDALE, CA"
"13400 CROSSROADS PKWY N, INDUSTRY, CA"
"13400 CROSSROADS PKWY E, INDUSTRY, CA"
"11000 ROOKS RD, PICO RIVERA, CA"
"UNKNOWN, LANCASTER, CA"
"LONG BEACH BLVD AND 105 FRWY, LYNWOOD, CA"
"NA, PICO RIVERA, CA"
"105 FWY AND LONG BEACH BLVD, LYNWOOD, CA"
"NA, PASADENA, CA"
"NA, LAKEWOOD, CA"
"IMPERIAL PAX, LOS ANGELES, CA"
"20220 SANTA FE AVE, LOS ANGELES, CA"
"ONE GATEWAY PLZ, LOS ANGELES, CA"
"NA, GLENDALE, CA"
"UNKNOWN, COMPTON, CA"
"13400 CROSSROADS PKWY, CITY OF INDUSTRY, CA"
"LAS VIRGENES RD AND 101 FWY, CALABASAS, CA"
"NA, LYNWOOD, CA"
"NA, POMONA, CA"
"STATE ST AND KADOTA AVE, MONTCLAIR, SBD LINE, CA"
"NA, BURBANK, CA"
"NA, LENNOX, CA"
"NA, WEST HOLLYWOOD, CA"
"NA, HAWTHORNE, CA"
"NA, TEMPLE CITY, CA"
"24510 HIGHWAY 2, WRIGHTWOOD, CA"
"NA, TORRANCE, CA"
"NA, EL MONTE, CA"
"100 TERRANEA WAY, RANCHO PALOS VERDES, CA"
"14720 AVIATION BLVD, LAWNDALE, CA"
"8610 GRAHAM AVE, LOS ANGELES, CA"
"NA, INGLEWOOD, CA"
"11230 S ACACIA ST, INGLEWOOD, CA"
"UNK UNK, UNKNOWN, CA"
"20320 SANTA FE AVE, LOS ANGELES, CA"
"NA, EAST LOS ANGELES, CA"
"NA, BELLFLOWER, CA"
"UNKNOWN, LA PUENTE, CA"
"UNKNOWN, CARSON, CA"
"UNK, UNKNOWN, CA"
"LA MIRADA MALL, LA MIRADA, CA"
"UNKNOWN UNKNOWN, UNKNOWN, CA"
"UNKNOWN, LYNWOOD, CA"
"KENNEDY RD AND EISENHOWER DR, SYLMAR, CA"
"NA, GARDENA, CA"
"ROSECRANS AVE AND PANNES AVE, COMPTON, CA"
"400 PUENTE HILLS MALL, INDUSTRY, CA"
"PACIFIC COAST HWY AND LAS FLORES, MALIBU, CA"
"360 AZUSA AVE, EAST VALINDA, CA"
"NA, LA MIRADA, CA"
"GARVEY AVE, ROSEMEAD, CA"
"NA, INDUSTRY, CA"
"NA, LA PUENTE, CA"
"UNKNOWN, HACIENDA HEIGHTS, CA"
"4350 E 208TH ST, LONG BEACH, CA"
"0 GATEWAY PLZ, LOS ANGELES, CA"
"UNKNOWN, WHITTIER, CA"
"PUENTE AVE AND VALLEY BLVD, INDUSTRY, CA"
"VALLEY BLVD AND PUENTE AVE, INDUSTRY, CA"
"19110 GOLDEN VALLEY RD, CANYON COUNTRY, CA"
"UNKNOWN, SANTA CLARITA, CA"
"COMPTON PAX, COMPTON, CA"
"PACIFIC COAST HWY, MALIBU, CA"
"33630 RED ROVER MINE RD, ACTON, CA"
"SANTA MONICA BLVD, WEST HOLLYWOOD, CA"
"24510 HIGHWAY 2, WRIGHTWOOD-FALLING SPRINGS N F, CA"
"NA, DIAMOND BAR, CA"
"UNION STATION, LOS ANGELES, CA"
"NA, CULVER CITY, CA"
"15700 E FOOTHILL BLVD, AZUSA, CA"
"FIRESTONE PAX, LOS ANGELES, CA"
"LONG BEACH BLVD AND LYNWOOD RD, LYNWOOD, CA"
"CALABASAS RD AND 101 FWY, CALABASAS, CA"
"101 FWY AND LOST HILLS RD, CALABASAS, CA"
"HUNTINGTON DR, DUARTE, CA"
"NA, PARAMOUNT, CA"
"101 FWY AND LAS VIRGENES RD, CALABASAS, CA"
"1400 MT OLIVE DR, DUARTE, CA"
"NA, ROSEMEAD, CA"
"UNKNOWN, BELLFLOWER, CA"
"LAS VIRGENES AND 101 FWY, CALABASAS, CA"
"NA, BEVERLY HILLS, CA"
"NA, WEST COVINA, CA"
"PARAMOUNT BLVD AND 105 FWY, PARAMOUNT, CA"
"100 PUENTE HILLS MALL, INDUSTRY, CA"
"COMPTON PAX, LOS ANGELES, CA"
"CENTRAL AVE AND ROSECRANS AVE, COMPTON, CA"
"LONG BEACH BLVD AND MYRRH ST, COMPTON, CA"
"ROSEMEAD BLVD, TEMPLE CITY, CA"
"UNKNOWN, LAKEWOOD, CA"
"NA, HACIENDA HEIGHTS, CA"
"3600 CESAR CHAVEZ AVE, EAST LOS ANGELES, CA"
"UNKNOWN, CERRITOS, CA"
"CABRILLO MOLE, AVALON, CA"
"LOST HILLS RD AND 101 FWY, CALABASAS, CA"
"NA, CANYON COUNTRY, CA"
"NA, NEWHALL, CA"
"SOLEDAD CANYON RD AND COMMUTER WAY, SAUGUS, CA"
"1900 MONTEBELLO TOWN CENTER DR, ROSEMEAD, CA"
"8800 CENTURY BLVD, PARAMOUNT, CA"
"NA, SAN DIMAS, CA"
"UNKNOWN AND UNKNOWN, UNKNOWN, CA"
"450 BAUCHET ST, LOS ANGELES, CA"
"SIERRA HWY AND TECHNOLOGY DR, PALMDALE, CA"
"UNKNOWN, LA MIRADA, CA"
"16400 DELONE ST, CANYON COUNTRY, CA"
"BUS 7905, BUS DIV 9, EL MONTE, CA"
"NA, MALIBU, CA"
"NA, ROWLAND HEIGHTS, CA"
"NA, SOUTH GATE, CA"
"13400 N CROSSROADS PKWY, INDUSTRY, CA"
"43100 PYRAMID LAKE RD, GORMAN, CA"
"ALAMEDA AND VIGNES, LOS ANGELES, CA"
"BIANCHI WAY AND ROSECRANS AVE, PARAMOUNT, CA"
"NA, ALTADENA, CA"
"NA, CERRITOS, CA"
"NA, WALNUT, CA"
"VALLEY CENTRAL WAY, LANCASTER, CA"
"10TH ST W AND TECHNOLOGY DR, PALMDALE, CA"
"11000 ROOKS RD, WHITTIER, CA"
"14720 AVIATION BLVD, HAWTHORNE, CA"
"19310 GOLDEN VALLEY RD, CANYON COUNTRY, CA"
"21510 CENTRE POINTE PKWY, SANTA CLARITA, CA"
"3RD ST E AND TECHNOLOGY DR, PALMDALE, CA"
"43430 VINEYARD DR, LANCASTER, CA"
"CASTAIC RD AND PARKER RD, CASTAIC, CA"
"HOXIE AVE AND 105 FWY, NORWALK, CA"
"NA, AVALON, CA"
"NA, REDONDO BEACH, CA"
"NA, VALENCIA, CA"
"UNKNOWN, PARAMOUNT, CA"
"12190 ROOKS RD, PICO RIVERA, CA"
"38040 DIVISION ST, PALMDALE, CA"
"LONG BEACH BLVD AND 105 FWY, LYNWOOD, CA"
"ROSEMEAD BLVD AND 10 FWY, ROSEMEAD, CA"
"STATE ST AND KADOTA AVE, MONTCLAIR, CA"
"1300 AVENIDA, LOS ANGELES, CA"
"27410 WAYNE MILLS PL, VALENCIA, CA"
"IMPERIAL HWY AND CROESUS AVE, LOS ANGELES, CA"
"UNKNOWN, PICO RIVERA, CA"
"FLORENCE PAX, LOS ANGELES, CA"
"ROSECRANS AVE AND BIANCHI WAY, PARAMOUNT, CA"
"SEPULVEDA BLVD AND 110 FWY, CARSON, CA"
"VALLEY BLVD, ROSEMEAD, CA"
"39000 CLOCK TOWER PLZ, PALMDALE, CA"
"91 FWY AND ALBERTONI ST, CARSON, CA"
"DEL AMO PAX, LOS ANGELES, CA"
"10TH ST W, LANCASTER, CA"
"11050 N TRAIL RD, KAGEL CANYON, CA"
"13400 CROSSROADS PKWY N, CITY OF INDUSTRY, CA"
"19650 SAN JOSE AVE, ROWLAND HEIGHTS, CA"
"5580 AZUSA AVE, AZUSA, CA"
"9000 OVERLAND DR, CULVER CITY, CA"
"NA, ALHAMBRA, CA"
"NA, HUNTINGTON PARK, CA"
"WILMINGTON PAX, LOS ANGELES, CA"
"1000 UNIVERSAL STUDIOS BLVD, WEST HOLLYWOOD, CA"
"ARROW HWY AND 57 FWY, SAN DIMAS, CA"
"NA, COMMERCE, CA"
"NA, GLENDORA, CA"
"NA, MANHATTAN BEACH, CA"
"ROSEMEAD BLVD, ROSEMEAD, CA"
"1000 UNIVERSAL STUDIOS BLVD, UNIVERSAL CITY, CA"
"10100 GRANDEE AVE, LOS ANGELES, CA"
"160 S SUNOL DR, EAST LOS ANGELES, CA"
"34700 SIERRA HWY, PALMDALE, CA"
"7TH AND METRO, LOS ANGELES, CA"
"GARVEY AVE, SOUTH EL MONTE, CA"
"NA, AGOURA, CA"
"NA, MARINA DEL REY, CA"
"SEE NARRATIVE, CARSON, CA"
"SIERRA HWY, LANCASTER, CA"
"UNKNOWN, SAN DIMAS, CA"
"VALLEY BLVD AND PUENTE AVE, BASSETT, CA"
"1301 AVENIDA AND CESAR CHAVEZ, MONTEREY PARK, CA"
"1900 TOWN CENTER DR, MONTEBELLO, CA"
"20320 SANTA FE AVE, CARSON, CA"
"AVALON HARBOR, AVALON, CA"
"NA, LAS VEGAS, NV"
"NA, LOMITA, CA"
"PIONEER BLVD AND 91 FWY, ARTESIA, CA"
"70 LAKEWOOD CENTER MALL, LAKEWOOD, CA"
"EASTEND AVE AND FIRST ST, POMONA, CA"
"LAKEWOOD BLVD AND 91 FWY, BELLFLOWER, CA"
"NA, CLAREMONT, CA"
"NA, COVINA, CA"
